2023-05-29T17:05:39Z
 
Index_No.     Position.x      Position.y      Position.z 
492      -2.379497      -12.25274      -0.6298871
492      -2.352337      -12.23126      -0.6963031
492      -2.30171      -12.2174      -0.8317333
492      -2.30171      -12.2174      -0.8317333
492      -2.30013      -12.21684      -0.8352525
492      -2.255052      -12.18079      -0.979461
492      -2.245026      -12.17182      -1.050763
492      -2.190338      -12.25032      -1.189698
492      -2.168401      -12.1548      -1.272168
492      -2.144758      -12.10319      -1.348322
492      -2.126131      -12.13005      -1.414636
492      -2.106947      -12.0901      -1.485005
492      -2.091805      -12.06836      -1.550867
492      -2.085654      -12.08102      -1.609565
492      -2.095954      -12.12604      -1.660687
492      -2.095294      -12.1292      -1.715178
492      -2.064661      -12.07665      -1.787608
492      -2.058332      -11.97022      -1.824002
492      -2.062429      -11.95807      -1.848918
492      -2.065263      -11.951      -1.870238
492      -2.065263      -11.951      -1.870238
492      -2.066262      -11.95064      -1.869662
492      -2.086497      -11.94252      -1.905415
492      -2.087766      -11.94294      -1.903273
492      -2.115629      -11.9769      -1.900639
492      -2.126353      -11.99197      -1.894724
492      -2.136374      -12.00249      -1.885566
492      -2.151206      -12.00875      -1.872082
492      -2.161917      -12.05528      -1.853448
492      -2.197493      -12.14053      -1.814858
492      -2.201383      -12.0948      -1.794224
492      -2.201383      -12.0948      -1.794224
492      -2.202128      -12.0959      -1.791235
492      -2.216928      -12.13578      -1.738553
492      -2.234385      -12.11891      -1.719653
492      -2.251066      -12.14411      -1.662111
492      -2.25876      -12.15534      -1.640874
492      -2.264371      -12.16908      -1.614791
492      -2.271317      -12.24429      -1.555343
492      -2.27593      -12.18784      -1.542806
492      -2.271466      -12.21974      -1.511934
492      -2.271607      -12.22014      -1.511278
492      -2.270404      -12.22903      -1.488825
492      -2.267679      -12.23395      -1.465916
492      -2.262216      -12.24877      -1.424718
492      -2.257157      -12.2562      -1.401461
492      -2.268389      -12.33715      -1.374142
492      -2.254405      -12.3452      -1.338392
492      -2.25436      -12.41376      -1.325021
492      -2.244949      -12.42911      -1.313605
492      -2.244803      -12.42937      -1.313865
492      -2.234827      -12.4359      -1.305047
492      -2.209211      -12.42116      -1.286731
492      -2.208165      -12.42063      -1.287865
492      -2.202765      -12.41807      -1.294617
492      -2.201383      -12.41835      -1.301021
492      -2.197919      -12.41854      -1.30851
492      -2.194122      -12.42066      -1.321656
492      -2.194618      -12.4254      -1.324984
492      -2.193205      -12.42452      -1.328554
492      -2.185627      -12.42014      -1.348031
492      -2.179651      -12.4182      -1.349232
492      -2.1731      -12.41611      -1.351263
492      -2.16542      -12.4147      -1.352833
492      -2.156915      -12.4135      -1.358101
492      -2.147015      -12.4106      -1.36252
492      -2.136342      -12.40922      -1.366877
492      -2.125625      -12.41054      -1.370877
492      -2.113499      -12.41051      -1.379288
492      -2.099951      -12.40642      -1.387382
492      -2.084829      -12.40095      -1.395769
492      -2.069018      -12.39757      -1.404401
492      -2.052412      -12.39714      -1.414671
492      -2.033771      -12.39436      -1.426335
492      -2.014366      -12.38962      -1.437965
492      -1.992326      -12.39083      -1.452811
492      -1.967442      -12.38717      -1.467605
492      -1.940812      -12.37778      -1.482612
492      -1.912588      -12.36829      -1.498356
492      -1.882459      -12.35937      -1.51489
492      -1.850543      -12.35047      -1.531883
492      -1.816919      -12.3409      -1.549393
492      -1.781427      -12.32908      -1.56536
492      -1.745935      -12.31726      -1.581327
492      -1.708116      -12.30609      -1.601706
492      -1.660765      -12.29599      -1.620046
492      -1.606517      -12.29149      -1.633601
492      -1.552269      -12.28699      -1.647156
492      -1.495907      -12.28249      -1.66521
492      -1.414666      -12.26278      -1.677459
492      -1.312502      -12.26572      -1.684212
492      -1.293156      -12.26562      -1.684309
492      -1.27535      -12.25527      -1.672406
492      -1.247426      -12.32961      -1.661249
492      -1.235388      -12.28147      -1.662437
492      -1.197606      -12.28286      -1.643584
492      -1.196561      -12.28584      -1.644737
