2023-04-27T16:16:20Z
 
Index_No.     Position.x      Position.y      Position.z
479      -0.5755232      0.4092198      -0.7151388
479      -0.5750124      0.4095953      -0.715386
479      -0.5740775      0.4099031      -0.716047
479      -0.5735907      0.4103172      -0.7163582
479      -0.5730416      0.4106597      -0.7166113
479      -0.5725673      0.4109257      -0.716943
479      -0.572063      0.4112363      -0.7173281
479      -0.5716184      0.4114613      -0.7176312
479      -0.5710753      0.4119059      -0.7178739
479      -0.5700268      0.4123571      -0.7184857
479      -0.5695093      0.4128323      -0.7186694
479      -0.5690514      0.4132787      -0.7189442
479      -0.5686011      0.4133841      -0.71922
479      -0.5681208      0.4138556      -0.7193562
479      -0.5676467      0.4140766      -0.7196419
479      -0.5672238      0.41431      -0.7198752
479      -0.5668166      0.4147083      -0.7201321
479      -0.5665469      0.4150919      -0.7203674
479      -0.5659635      0.4154443      -0.7208511
479      -0.5656921      0.4155112      -0.7211167
479      -0.5654058      0.4157383      -0.7213517
479      -0.5651257      0.4158984      -0.7215793
479      -0.5648884      0.4161998      -0.7216847
479      -0.5646569      0.4163884      -0.7218659
479      -0.564388      0.4165443      -0.7221059
479      -0.5639789      0.4167405      -0.7224809
479      -0.5637794      0.4168621      -0.7225667
479      -0.5636383      0.4165454      -0.7228497
479      -0.5633197      0.4169595      -0.722791
479      -0.5631685      0.4177859      -0.722559
479      -0.5631685      0.4177859      -0.722559
479      -0.562658      0.4176198      -0.7227733
479      -0.5624255      0.4181509      -0.7225335
479      -0.5620877      0.4183      -0.7224113
479      -0.5619192      0.4186032      -0.7222915
479      -0.5618105      0.4185778      -0.7222542
479      -0.5615309      0.4189157      -0.7219522
479      -0.561374      0.4190691      -0.7217891
479      -0.5613149      0.4191307      -0.721646
479      -0.5612783      0.4191118      -0.7215058
479      -0.5612466      0.4191406      -0.7213844
479      -0.5612238      0.4191234      -0.7212224
479      -0.5613152      0.4189613      -0.7211257
479      -0.561359      0.4192783      -0.7208924
479      -0.5613511      0.4189618      -0.7207448
479      -0.5613011      0.4185854      -0.7205533
479      -0.5612174      0.4189006      -0.7202533
479      -0.5610792      0.4187091      -0.7199696
479      -0.5610659      0.4183765      -0.7199144
479      -0.5610163      0.4186126      -0.7198198
479      -0.5609592      0.4185311      -0.7197156
479      -0.5608932      0.418443      -0.7195975
479      -0.5608411      0.4184093      -0.7194687
479      -0.5608423      0.4181046      -0.7194178
479      -0.5607175      0.4186063      -0.7187958
479      -0.5606564      0.4187625      -0.7183956
479      -0.5606446      0.4187663      -0.7181591
479      -0.560526      0.4186225      -0.7179949
479      -0.5605363      0.4185261      -0.7179517
479      -0.5605363      0.4185261      -0.7179517
479      -0.5605313      0.4185521      -0.7174543
479      -0.5605236      0.4185266      -0.7172492
479      -0.5605749      0.4183533      -0.7169691
479      -0.5605583      0.4182905      -0.7165799
479      -0.5605674      0.418249      -0.7164606
479      -0.5605689      0.4179364      -0.7163864
479      -0.5605358      0.4179818      -0.7162542
479      -0.5605587      0.4175725      -0.7162111
479      -0.5604142      0.4173972      -0.7160813
479      -0.5604379      0.4172992      -0.7160085
479      -0.5604066      0.4166778      -0.7160434
479      -0.560382      0.4165047      -0.7159555
