2023-05-29T17:05:39Z
 
Index_No.    Distance
492      1.491044
492      1.541489
492      1.593136
492      1.646902
492      1.702031
492      1.760994
492      1.818399
492      1.880387
492      1.941384
492      2.004423
492      2.069189
492      2.137689
492      2.207743
492      2.279596
492      2.353076
492      2.428974
492      2.510597
492      2.59883
492      2.692563
492      2.793523
492      2.906058
492      3.034359
492      3.196301
492      3.216662
492      3.282785
492      3.275867
492      3.283303
492      3.457339
492      3.565675
492      3.76685
492      3.889871
492      4.062418
492      4.189274
492      4.368908
492      4.545815
492      4.566535
492      5.200962
492      5.443328
492      5.692825
492      5.989483
492      6.245303
492      6.54441
492      6.842469
492      7.121494
492      7.147493
492      8.017763
492      8.297897
492      8.579506
492      8.836772
492      9.124604
492      9.366487
492      9.762177
492      9.80422
492      9.817894
492      10.2171
492      10.39877
492      10.32858
492      10.46697
492      10.57355
492      10.68539
492      10.81944
492      10.86985
492      10.88202
492      11.13353
492      11.19795
492      11.26692
492      11.3305
492      11.38729
492      11.45453
492      11.56344
492      11.55032
492      11.59505
492      11.60213
492      11.71576
492      11.74912
492      11.7589
492      11.77223
492      11.77238
492      11.78278
492      11.77124
492      11.77124
492      11.772
492      11.71892
492      11.73427
492      11.65617
492      11.63336
492      11.59512
492      11.54712
492      11.47842
492      11.47842
492      11.47644
492      11.38622
492      11.35189
492      11.37154
492      11.25228
492      11.17629
492      11.17814
492      11.11614
492      11.07347
492      11.06682
492      11.09528
492      11.08213
492      11.0077
492      10.89528
492      10.87704
492      10.86455
492      10.86455
492      10.86449
492      10.84895
492      10.8501
492      10.88643
492      10.90371
492      10.91749
492      10.92904
492      10.97988
492      11.07624
492      11.03915
492      11.03915
492      11.04114
492      11.09604
492      11.08774
492      11.13066
492      11.14857
492      11.17008
492      11.25993
492      11.21103
492      11.25
492      11.25059
492      11.26572
492      11.27709
492      11.30318
492      11.31682
492      11.403
492      11.42011
492      11.48882
492      11.50571
492      11.50585
492      11.51358
492      11.50246
492      11.50148
492      11.49626
492      11.49433
492      11.49171
492      11.48909
492      11.49256
492      11.49043
492      11.47927
492      11.47637
492      11.47299
492      11.47028
492      11.4665
492      11.46124
492      11.45736
492      11.45614
492      11.45212
492      11.44423
492      11.43479
492      11.42719
492      11.42181
492      11.4136
492      11.4035
492      11.39781
492      11.3873
492      11.37119
492      11.35468
492      11.33837
492      11.32187
492      11.30452
492      11.28546
492      11.26651
492      11.24679
492      11.22813
492      11.21596
492      11.20406
492      11.19097
492      11.16406
492      11.16004
492      11.15911
492      11.15201
492      11.22521
492      11.17846
492      11.18407
492      11.18654
492      11.34837
492      11.21221
