2023-04-12T14:41:08Z
 
Index No.     Position.x      Position.y      Position.z
479      -0.7283827      0.2672883      -0.4955909
479      -0.7283827      0.2672883      -0.4955909
479      -0.7325115      0.2665647      -0.4946865
479      -0.7338219      0.2659125      -0.4946654
479      -0.7350363      0.2652507      -0.4946683
479      -0.7365054      0.2643593      -0.4948896
479      -0.7376217      0.2635168      -0.4952578
479      -0.7400047      0.2619084      -0.496469
479      -0.7409973      0.260783      -0.4969049
479      -0.7421038      0.2599745      -0.4977714
479      -0.7430974      0.2587469      -0.4984885
479      -0.7439875      0.2581019      -0.4994877
479      -0.7456599      0.2562965      -0.5016873
479      -0.7463377      0.2550778      -0.5026356
479      -0.7470558      0.2539959      -0.5040768
479      -0.7485577      0.251906      -0.5071867
479      -0.7491517      0.250785      -0.5090024
479      -0.7497835      0.2495341      -0.5109208
479      -0.7497835      0.2495341      -0.5109208
479      -0.7511616      0.247312      -0.5153388
479      -0.7524013      0.2446343      -0.5203585
479      -0.7531328      0.2436576      -0.5231162
479      -0.7542155      0.2427966      -0.5261449
479      -0.7550129      0.2416085      -0.5293335
479      -0.7562005      0.2407668      -0.5325214
479      -0.7586781      0.2385221      -0.5393787
479      -0.7586781      0.2385221      -0.5393787
479      -0.7630642      0.2354535      -0.550627
479      -0.7645692      0.2342729      -0.5545729
479      -0.7668604      0.2337867      -0.5589189
479      -0.768627      0.2327257      -0.5632029
479      -0.7707525      0.2314558      -0.5677502
479      -0.7752225      0.2291606      -0.577258
479      -0.7773815      0.2277796      -0.5822812
479      -0.7773815      0.2277796      -0.5822812
479      -0.7828482      0.2256298      -0.5928068
479      -0.7884833      0.2232793      -0.6040351
479      -0.791607      0.2222668      -0.6101117
479      -0.7946706      0.2209051      -0.6162409
479      -0.7980082      0.2197951      -0.6225989
479      -0.8014643      0.2187275      -0.6291357
479      -0.8048977      0.2174193      -0.6354873
479      -0.8123912      0.2158475      -0.649634
479      -0.8123912      0.2158475      -0.649634
479      -0.8203685      0.2141867      -0.6643955
479      -0.8241552      0.2130615      -0.6720194
479      -0.8329076      0.2125916      -0.6879059
479      -0.8374393      0.2127394      -0.6962694
479      -0.8419118      0.2127019      -0.7045779
479      -0.8467981      0.2136566      -0.7129451
479      -0.8512905      0.2142464      -0.7214136
479      -0.8559283      0.2151679      -0.7297626
479      -0.8648817      0.218102      -0.746107
479      -0.869328      0.2202908      -0.7539855
479      -0.8734058      0.2220776      -0.7616935
479      -0.8773027      0.2240956      -0.7692507
479      -0.8845714      0.2282604      -0.7837397
479      -0.8878673      0.229967      -0.7906387
479      -0.8910252      0.2318952      -0.7973909
479      -0.8940523      0.2338242      -0.803876
479      -0.8940523      0.2338242      -0.803876
479      -0.899783      0.2368579      -0.8162825
479      -0.9023797      0.2379197      -0.8224118
479      -0.9052339      0.2393495      -0.8282318
479      -0.9077771      0.2406126      -0.8340404
479      -0.9126118      0.2425943      -0.8456696
479      -0.9148827      0.2434903      -0.8513108
479      -0.9171737      0.2447825      -0.8570434
479      -0.9194707      0.2457049      -0.8626611
479      -0.9194707      0.2457049      -0.8626611
479      -0.9233648      0.247586      -0.8743559
479      -0.9254047      0.2484522      -0.8800899
479      -0.928983      0.2502287      -0.8919352
479      -0.9309049      0.2512162      -0.8976597
479      -0.9326028      0.2521606      -0.9034283
479      -0.934177      0.2524787      -0.9093813
479      -0.9359956      0.253249      -0.9150279
479      -0.9394954      0.2539227      -0.9265185
479      -0.9394954      0.2539227      -0.9265185
479      -0.9429209      0.2537992      -0.9379473
479      -0.9467602      0.2527601      -0.9487381
479      -0.9485037      0.2518443      -0.9542491
479      -0.9504727      0.2510456      -0.9595399
479      -0.9524733      0.2499991      -0.9647018
479      -0.9545866      0.2491975      -0.9703348
479      -0.9567015      0.2480374      -0.9755856
479      -0.9589943      0.2468589      -0.9808742
479      -0.9610106      0.244972      -0.9861106
479      -0.9633779      0.2435462      -0.9913378
479      -0.9681115      0.2407943      -1.002256
479      -0.9681115      0.2407943      -1.002256
479      -0.9732997      0.2380619      -1.01334
479      -0.9759759      0.2367996      -1.019138
479      -0.9787333      0.2355565      -1.024956
479      -0.981639      0.2343185      -1.030801
479      -0.9844924      0.2334484      -1.036652
479      -0.9844924      0.2334484      -1.036652
479      -0.9904025      0.231      -1.048646
479      -0.9962183      0.2292179      -1.061327
479      -0.9991836      0.2280402      -1.067681
479      -1.001942      0.2270661      -1.073983
479      -1.004812      0.2259893      -1.080644
479      -1.007654      0.2249644      -1.087206
479      -1.010544      0.2241281      -1.093611
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.013285      0.2231584      -1.10052
479      -1.036698      0.248294      -1.078691
479      -1.033215      0.2477497      -1.069947
479      -1.031859      0.2469243      -1.060575
479      -1.028362      0.2447022      -1.040453
479      -1.026559      0.243602      -1.030134
479      -1.024551      0.2429489      -1.019894
479      -1.023271      0.2413424      -1.008402
479      -1.018919      0.2407366      -0.9882299
479      -1.016596      0.2396863      -0.9770665
479      -1.012562      0.238963      -0.9559615
479      -1.012562      0.238963      -0.9559615
479      -1.007425      0.2386566      -0.9353877
479      -1.004091      0.2378412      -0.9147765
479      -1.000991      0.2386901      -0.9055266
479      -0.9997789      0.2393308      -0.8960502
479      -0.9971311      0.2397209      -0.886866
479      -0.9971311      0.2397209      -0.886866
479      -0.9971311      0.2397209      -0.886866
479      -0.9910066      0.242245      -0.8593042
479      -0.9910066      0.242245      -0.8593042
479      -0.9853793      0.2468776      -0.8426471
479      -0.9827258      0.2490183      -0.834456
479      -0.980367      0.2517967      -0.8266738
479      -0.9778533      0.2546377      -0.8191297
479      -0.9734828      0.2608508      -0.8045001
479      -0.9712447      0.2642155      -0.7979823
479      -0.9691563      0.2678427      -0.7916242
479      -0.9672502      0.2713089      -0.7854511
479      -0.9672502      0.2713089      -0.7854511
479      -0.9634485      0.2783959      -0.77426
479      -0.9617625      0.282345      -0.7689025
479      -0.9617625      0.282345      -0.7689025
479      -0.9584291      0.2898383      -0.7593216
479      -0.9567037      0.2932414      -0.7549632
479      -0.953119      0.3004843      -0.7475215
479      -0.9514127      0.3038679      -0.7442369
479      -0.9495544      0.3069533      -0.741214
479      -0.9495544      0.3069533      -0.741214
479      -0.9477503      0.3098899      -0.7384304
479      -0.9439411      0.3152594      -0.7336589
479      -0.9417944      0.3179201      -0.7316715
479      -0.9398303      0.3200172      -0.7297955
479      -0.9377384      0.32241      -0.728143
479      -0.9360742      0.3239238      -0.7261629
479      -0.9317277      0.3275122      -0.7238341
479      -0.9295464      0.3288207      -0.7226515
479      -0.927353      0.3303746      -0.7217321
479      -0.927353      0.3303746      -0.7217321
479      -0.9226261      0.3329953      -0.7200302
479      -0.9201572      0.3343564      -0.7194159
479      -0.917581      0.3354082      -0.7186496
479      -0.9149804      0.3364716      -0.7179831
479      -0.9125779      0.337878      -0.7170048
479      -0.9100805      0.3391128      -0.7161481
479      -0.9051608      0.3415048      -0.7142388
479      -0.902714      0.3426239      -0.7132732
