2023-05-29T17:05:39Z
 
Index_No.     Time_Stamp
492      265.3775
492      265.3886
492      265.3998
492      265.4108
492      265.422
492      265.4329
492      265.4461
492      265.4551
492      265.4664
492      265.4778
492      265.4887
492      265.4999
492      265.5106
492      265.522
492      265.5333
492      265.5441
492      265.5558
492      265.5665
492      265.5775
492      265.5883
492      265.601
492      265.6103
492      265.6219
492      265.6332
492      265.6442
492      265.6554
492      265.6667
492      265.6775
492      265.6887
492      265.6997
492      265.7109
492      265.7225
492      265.7332
492      265.7441
492      265.7561
492      265.7662
492      265.7777
492      265.7893
492      265.8001
492      265.8109
492      265.8226
492      265.8335
492      265.8443
492      265.8556
492      265.8669
492      265.8776
492      265.8889
492      265.9003
492      265.9113
492      265.9226
492      265.9359
492      265.9474
492      265.9583
492      265.9691
492      265.9801
492      265.992
492      266.0031
492      266.0141
492      266.0266
492      266.0358
492      266.0481
492      266.0589
492      266.0699
492      266.081
492      266.0925
492      266.1034
492      266.1143
492      266.1255
492      266.1367
492      266.1485
492      266.1593
492      266.1704
492      266.1813
492      266.1923
492      266.2034
492      266.2143
492      266.2253
492      266.2367
492      266.2477
492      266.2592
492      266.2703
492      266.2812
492      266.2925
492      266.3035
492      266.3142
492      266.3258
492      266.3372
492      266.3494
492      266.3586
492      266.3702
492      266.3817
492      266.3923
492      266.4043
492      266.414
492      266.4254
492      266.4366
492      266.4481
492      266.4586
492      266.4696
492      266.4807
492      266.4926
492      266.5035
492      266.5146
492      266.5255
492      266.5367
492      266.547
492      266.5605
492      266.5699
492      266.5809
492      266.5919
492      266.603
492      266.614
492      266.6248
492      266.6364
492      266.6469
492      266.6587
492      266.6699
492      266.6807
492      266.6916
492      266.703
492      266.7138
492      266.7247
492      266.7367
492      266.7475
492      266.7585
492      266.7696
492      266.7805
492      266.7914
492      266.8029
492      266.8146
492      266.8254
492      266.8367
492      266.8477
492      266.8588
492      266.8696
492      266.8805
492      266.8917
492      266.9043
492      266.9142
492      266.9246
492      266.9367
492      266.9479
492      266.9583
492      266.97
492      266.9808
492      266.9918
492      267.0029
492      267.0137
492      267.0256
492      267.0367
492      267.0475
492      267.0584
492      267.0697
492      267.0805
492      267.0918
492      267.1028
492      267.1135
492      267.1255
492      267.1376
492      267.1472
492      267.1583
492      267.1697
492      267.1819
492      267.1914
492      267.2029
492      267.2137
492      267.2257
492      267.2365
492      267.2474
492      267.2601
492      267.2691
492      267.2802
492      267.292
492      267.3032
492      267.3137
492      267.3249
492      267.3367
492      267.3475
492      267.3581
492      267.3693
492      267.3812
492      267.3918
492      267.4032
492      267.4137
492      267.4258
492      267.4365
492      267.4497
492      267.4582
492      267.4695
492      267.481
492      267.4917
492      267.5029
492      267.5139
492      267.5259
492      267.5359
492      267.547
492      267.5592
492      267.57
492      267.5809
492      267.5918
492      267.6029
492      267.6138
492      267.6256
492      267.6369
492      267.6475
492      267.6582
492      267.6695
492      267.6805
492      267.6917
492      267.703
492      267.7142
492      267.725
492      267.737
492      267.7477
492      267.7586
492      267.7696
492      267.7804
492      267.7918
492      267.8032
492      267.8139
492      267.8248
492      267.8368
492      267.8494
492      267.8583
492      267.8698
492      267.8808
492      267.8915
492      267.9028
492      267.9144
492      267.9261
492      267.9367
492      267.9476
492      267.9592
492      267.9698
492      267.9807
492      267.9921
492      268.0033
492      268.0138
492      268.0257
492      268.0368
492      268.0476
492      268.0586
492      268.0701
492      268.0806
492      268.0919
492      268.103
492      268.1138
492      268.1257
492      268.137
492      268.1479
492      268.1609
492      268.1699
492      268.1841
492      268.1945
492      268.2028
492      268.2141
492      268.2255
492      268.2376
492      268.2481
492      268.2592
492      268.2701
492      268.2809
492      268.2929
492      268.3033
492      268.3146
492      268.3253
492      268.3372
492      268.348
492      268.3588
492      268.3696
492      268.3807
492      268.3929
492      268.4025
492      268.4145
492      268.4251
492      268.4362
492      268.4476
492      268.4581
492      268.469
492      268.4801
492      268.4914
492      268.5031
492      268.513
492      268.5252
492      268.5362
492      268.5474
492      268.558
492      268.5688
492      268.5811
492      268.5908
492      268.6021
492      268.6132
492      268.6251
492      268.6357
492      268.6469
492      268.6591
492      268.669
